English,Uzbek
the,artikl
of,dan
and,va
to,ga
in,ichida
i,men
that,bu
was,edi
his,uning
he,u
it,u
with,bilan
is,bu
for,uchun
as,kabi
had,bor edi
you,siz
not,emas
be,bo'lmoq
her,u
on,yoqilgan
at,da
by,bilan
which,qaysi
have,bor
or,yoki
from,dan
this,bu
him,u
but,lekin
all,hamma
she,u
they,ular
were,edi
my,mening
are,bor
me,men
one,biri
their,ularning
so,shunday qilib
an,a
said,dedi
them,ularni
we,biz
who,JSSV
would,bo'lardi
been,bo'lgan
will,iroda
no,yo'q
when,qachon
there,U yerda
if,agar
more,Ko'proq
out,tashqarida
up,yuqoriga
into,ichiga
do,qilmoq
any,har qanday
your,sizning
what,nima
has,bor
man,kishi
could,mumkin
other,boshqa
than,dan
our,bizning
some,biroz
very,juda
time,vaqt
upon,ustiga
about,haqida
may,mayl
its,uning
only,faqat
now,hozir
like,o'xshash
little,biroz
then,keyin
can,mumkin
should,kerak
made,yasama
did,qildi
us,Biz
such,shunday
a,a
great,ajoyib
before,oldin
must,shart
two,ikki
these,bular
see,ko'rmoq
know,bilmoq
over,ustida
much,ko'p
down,pastga
after,keyin
first,avval
Mr,Janob
good,yaxshi
men,erkaklar
own,Shaxsiy
never,hech qachon
most,ko'p
old,eski
shall,kerak
day,kun
where,qayerda
those,o'shalarga
came,keldilar
come,keling
himself,o'zi
way,yo'l
work,ish
life,hayot
without,yo'q
go,bormoq
make,qilmoq
well,yaxshi
through,orqali
being,bo'lish
long,uzoq
say,demoq
might,qudrat
how,Qanaqasiga
am,men
too,ham
even,hatto
def,qo'rqitmoq
again,yana
many,ko'p
back,orqaga qaytish
here,Bu yerga
think,o'ylamoq
every,har bir
people,odamlar
went,bormoq
same,bir xil
last,oxirgi
thought,o'ylamoq
away,uzoqda
under,ostida
take,olmoq
found,topilgan
hand,qo'llamoq
eyes,ko'zlar
still,hanuzgacha
place,joy
while,vaqt
just,shunchaki
also,shuningdek
young,yosh
yet,hali
though,Garchi
against,qarshi
things,narsalar
get,olmoq
ever,har doim
give,bermoq
god,xudo
years,yillar
off,o'chirilgan
face,yuzma-yuz
nothing,hech narsa
right,to'g'ri
once,bir marta
another,boshqa
left,chapda
part,qism
saw,arra
house,uy
world,dunyo
head,bosh
three,uch
took,olib bordi
new,yangi
love,muhabbat
always,har doim
Mrs,Xonim
put,qo'ymoq
night,kechasi
each,har biri
king,qirol
between,orasida
tell,aytmoq
mind,fikr
heart,yurak
few,oz
because,chunki
thing,narsa
whom,kim
far,uzoq
seemed,tuyuldi
looked,qaradi
called,chaqqon
whole,butun
de,de
set,sozlamoq
both,ikkalasi ham
got,oldim
find,topmoq
done,bajarildi
heard,eshitgan
look,qarash
name,ism
days,kunlar
told,aytib bermoq
let,ijozat bering
lord,lord
country,mamlakat
asked,so'radi
going,bormoq
seen,ko'rilgan
better,yaxshiroq
p,pechka
having,bor
home,uy
knew,biladigan
side,tomon
something,nimadur
moment,lahza
father,ota
among,orasida
course,kurs
hands,qo'llar
woman,ayol
enough,yetarli
words,so'zlar
mother,Ona
soon,tez orada
full,to'la
end,oxiri
gave,berildi
room,xona
almost,deyarli
small,kichik
thou,sen
cannot,mumkin emas
water,suv
want,xohlamoq
however,ammo
light,yorug'lik
quite,juda
brought,olib keldi
nor,ham
word,so'z
whose,kimning
given,berilgan
door,eshik
best,eng yaxshi
turned,o'girildi
taken,olingan
does,qiladi
use,foydalanish
morning,ertalab
myself,o'zim
Gutenberg,Gutenberg
felt,his qilmoq
until,gacha
since,botgan
power,kuch
themselves,o'zlari
used,ishlatilgan
rather,ancha
began,boshlangan
present,hozirgi
voice,ovoz
others,boshqalar
white,oq
works,ish
less,Ozroq
money,pul
next,Keyingisi
poor,kambag'al
death,o'lim
stood,turdi
form,shakl
within,ichida
together,birga
till,oxirigacha
thy,sening
large,katta
matter,ahamiyat
kind,mehribon
often,tez-tez
certain,ma'lum
herself,o'zini
year,yil
friend,do'st
half,yarim
order,tartib
round,aylana
TRUE,To'g'ri
anything,har qanday narsa
keep,saqlamoq
sent,yuborilgan
wife,xotin
means,demak
believe,ishonmoq
passed,o'tkinchi
feet,oyoqlari
near,yaqin
public,ommaviy
state,davlat
son,o'g'li
hundred,yuz
children,bolalar
thus,shunday qilib
hope,umid qilmoq
alone,yolg'iz
above,yuqorida
case,ish
dear,azizim
thee,senga
says,deydi
person,odam
high,baland
read,o'qimoq
city,shahar
already,allaqachon
received,qabul qildi
fact,fakt
gone,yo'qolgan
girl,qiz
known,ma'lum
hear,eshitmoq
times,vaqt
least,eng kam
perhaps,ehtimol
sure,ishonch hosil qilmoq
indeed,haqiqatdan ham
english,inglizcha
open,ochiq
body,tana
itself,o'zi
along,bo'ylab
land,yer
return,qaytish
leave,qoldirmoq
air,havo
nature,tabiat
answered,javob berdi
either,yoki
law,qonun
help,Yordam
lay,yotmoq
point,nuqta
child,bola
letter,xat
four,to'rt
wish,istak
